,Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change,Daily Volume MWh,Number of Trades,Number of Companies,date_x,DNI,Temperature,DHI,Pressure,Relative Humidity,Wind Speed,date_y,Date_x,Date_y,Open,High,Low,Close,Adj Close,Volume
0,PJM West,2001-01-02,2001-01-03,2001-01-03,65.5,64.5,65.0,,1600,2,2,2001-01-02,68797.39412897018,-2032.7555341674683,10899.537536092399,333825.4860442732,24807.885149181915,908.8960057747834,2001-01-02,2001-01-02,2001-01-02,1320.280029,1320.280029,1276.050049,1283.27002,1283.27002,1129400000.0
1,PJM West,2001-01-03,2001-01-04,2001-01-04,63.0,59.5,61.25,-3.75,3200,4,2,2001-01-03,68287.3103946102,-1686.3585178055823,9436.261308950912,331530.19730510114,25660.59082771896,911.679210779596,2001-01-03,2001-01-03,2001-01-03,1283.27002,1347.76001,1274.619995,1347.560059,1347.560059,1880700000.0
2,PJM West,2001-01-04,2001-01-05,2001-01-05,60.0,58.5,59.12,-2.1300000000000026,4800,6,4,2001-01-04,42744.55582290663,-1077.9615014436959,12108.24302213667,329297.6082771898,26548.007319538014,839.5735803657363,2001-01-04,2001-01-04,2001-01-04,1347.560059,1350.23999,1329.140015,1333.339966,1333.339966,2131000000.0
3,PJM West,2001-01-08,2001-01-09,2001-01-09,59.5,59.5,59.5,0.38000000000000256,800,1,2,2001-01-08,23221.851299326278,-683.1145332050049,13144.172281039459,327948.2916265642,30604.13897978824,537.5871992300289,2001-01-08,2001-01-08,2001-01-08,1298.349976,1298.349976,1276.290039,1295.859985,1295.859985,1115500000.0
4,PJM West,2001-01-09,2001-01-10,2001-01-10,58.0,55.5,56.61,-2.8900000000000006,5600,7,6,2001-01-09,74552.0563041386,-1418.5120307988454,10884.741097208855,329242.58421559166,24703.97637151106,1128.615640038499,2001-01-09,2001-01-09,2001-01-09,1295.859985,1311.719971,1295.140015,1300.800049,1300.800049,1191300000.0
5,PJM West,2001-01-10,2001-01-11,2001-01-11,50.5,49.0,49.75,-6.859999999999999,3200,4,4,2001-01-10,70923.06015399426,-480.19730510105893,10787.12656400385,330427.82001924934,25660.66419153032,1122.0488931665066,2001-01-10,2001-01-10,2001-01-10,1300.800049,1313.76001,1287.280029,1313.27002,1313.27002,1296500000.0
6,PJM West,2001-01-11,2001-01-12,2001-01-12,47.0,46.0,46.33,-3.4200000000000017,4800,6,3,2001-01-11,65947.36477382097,165.98460057747832,10597.24205967276,330281.1982675652,27733.698849855642,805.5873917228106,2001-01-11,2001-01-11,2001-01-11,1313.27002,1332.189941,1309.719971,1326.819946,1326.819946,1411200000.0
7,PJM West,2001-01-12,2001-01-15,2001-01-15,45.5,45.0,45.12,-1.2100000000000009,3200,4,6,2001-01-12,53905.035129932636,106.64725697786332,11899.762752646773,331420.00962463906,27939.62617420597,509.9938402309914,2001-01-12,2001-01-12,2001-01-12,1326.819946,1333.209961,1311.589966,1318.550049,1318.550049,1276000000.0
8,PJM West,2001-01-15,2001-01-16,2001-01-16,46.0,42.0,44.21,-0.9099999999999966,5600,7,6,2001-01-15,10800.241097208856,715.5486044273337,12198.986525505296,329622.4109720886,32106.444143407123,680.0337824831568,2001-01-15,2001-01-15,,,,,,,
9,PJM West,2001-01-16,2001-01-17,2001-01-17,42.5,42.0,42.4,-1.8100000000000023,4000,4,7,2001-01-16,21810.96102021174,300.7146294513955,14341.2093358999,330348.7439846005,28696.12657362849,847.3564966313767,2001-01-16,2001-01-16,2001-01-16,1318.319946,1327.810059,1313.329956,1326.650024,1326.650024,1205700000.0
10,PJM West,2001-01-17,2001-01-18,2001-01-18,41.0,39.0,39.56,-2.8399999999999963,7200,7,6,2001-01-17,32417.033686236766,-55.737728585178154,13900.033205004813,332035.0288739173,27604.400086621743,648.1652069297401,2001-01-17,2001-01-17,2001-01-17,1326.650024,1346.920044,1325.410034,1329.469971,1329.469971,1349100000.0
11,PJM West,2001-01-18,2001-01-19,2001-01-19,39.5,39.0,39.25,-0.3100000000000023,2400,3,5,2001-01-18,16809.2208854668,-1.4066410009625965,13576.619345524541,330793.3734359962,30428.614475457172,564.9560635226181,2001-01-18,2001-01-18,2001-01-18,1329.890015,1352.709961,1327.410034,1347.969971,1347.969971,1445000000.0
12,PJM West,2001-01-19,2001-01-22,2001-01-22,51.0,50.0,50.43,11.18,5600,5,6,2001-01-19,7849.421077959575,343.96920115495664,11802.168431183833,328505.717035611,31072.87755534168,664.1070259865253,2001-01-19,2001-01-19,2001-01-19,1347.969971,1354.550049,1336.73999,1342.540039,1342.540039,1407800000.0
13,PJM West,2001-01-22,2001-01-23,2001-01-23,50.75,50.25,50.5,0.07000000000000028,1600,2,4,2001-01-22,83210.64725697787,-1248.0447545717038,11232.06833493744,334404.14821944165,25496.253176130896,520.282001924928,2001-01-22,2001-01-22,2001-01-22,1342.540039,1353.619995,1333.839966,1342.900024,1342.900024,1164000000.0
14,PJM West,2001-01-23,2001-01-24,2001-01-24,51.5,49.0,50.08,-0.4200000000000017,7200,8,5,2001-01-23,69839.64436958614,-492.4836381135708,12278.777670837342,331608.614051973,27107.981674687206,548.605052935515,2001-01-23,2001-01-23,2001-01-23,1342.900024,1362.900024,1339.630005,1360.400024,1360.400024,1232600000.0
15,PJM West,2001-01-24,2001-01-25,2001-01-25,52.0,50.75,51.42,1.3400000000000034,2400,3,3,2001-01-24,62240.83012512031,-390.49470644850834,12992.295957651586,330108.7391722813,28021.294302213668,727.5521655437924,2001-01-24,2001-01-24,2001-01-24,1360.400024,1369.75,1357.280029,1364.300049,1364.300049,1309000000.0
16,PJM West,2001-01-25,2001-01-26,2001-01-26,48.25,46.0,46.75,-4.670000000000002,6400,8,7,2001-01-25,75418.21222329164,-932.639076034649,12630.578440808466,331447.48315688176,25808.18969682387,931.5828681424448,2001-01-25,2001-01-25,2001-01-25,1364.300049,1367.349976,1354.630005,1357.51001,1357.51001,1258000000.0
17,PJM West,2001-01-26,2001-01-29,2001-01-29,44.0,43.75,43.96,-2.789999999999999,4800,6,5,2001-01-26,61868.27574590954,-880.884023099134,11272.285370548605,330688.42637151113,25648.829302213664,926.112367661213,2001-01-26,2001-01-26,2001-01-26,1357.51001,1357.51001,1342.75,1354.949951,1354.949951,1098000000.0
18,PJM West,2001-01-29,2001-01-30,2001-01-30,36.0,35.0,35.57,-8.39,5600,6,4,2001-01-29,36881.34937439846,107.00288739172292,14213.74831568816,330731.1212704524,27307.180173243494,729.1367661212707,2001-01-29,2001-01-29,2001-01-29,1354.920044,1365.540039,1350.359985,1364.170044,1364.170044,1053100000.0
19,PJM West,2001-01-30,2001-01-31,2001-01-31,34.5,33.25,33.73,-1.8400000000000034,8800,10,8,2001-01-30,23802.268046198267,1204.0611164581326,13266.182868142443,325650.8084696823,31834.211862367654,953.5017805582293,2001-01-30,2001-01-30,2001-01-30,1364.170044,1375.680054,1356.199951,1373.72998,1373.72998,1149800000.0
